cycle,set,attack/noise/victim,hit/miss
14706986000,35,attack,miss
14706986501,18,noise,miss
14706996000,51,attack,hit
14712832000,2,attack,hit
14713600000,14,attack,hit
14714112000,22,attack,hit
14714432000,27,attack,hit
14714880000,34,attack,miss
14715160061,21,noise,hit
14715200000,39,attack,hit
14715650774,18,noise,miss
14715712000,47,attack,hit
14716736000,63,attack,hit
14756982000,29,attack,hit
14756984000,32,attack,hit
14769816000,28,attack,hit
14769820170,12,noise,hit
14769824000,30,attack,hit
14770923866,28,noise,hit
14771392000,19,attack,hit
14771552000,44,attack,hit
14816997000,52,attack,hit
14840019508,37,noise,hit
14869848000,33,attack,hit
14869962000,51,attack,hit
14869968000,52,attack,hit
